timestamp,player1,player2,winner,moves,first_move_type
2023-12-06 23:22:45.385153,X,O,X,7,center
2023-12-06 23:25:14.638845,X,O,X,5,center
2023-12-06 23:42:06.588630,X,O,X,5,center
2023-12-06 23:48:04.821097,O,X,O,6,corner
2023-12-06 23:49:52.773154,X,O,X,9,edge
2023-12-06 23:50:15.142976,X,O,D,9,corner
2023-12-06 23:50:35.818175,X,O,X,5,corner
2023-12-06 23:50:57.910581,O,X,O,8,corner
2023-12-06 23:51:17.327380,O,X,O,6,edge
2023-12-06 23:51:36.885334,O,X,O,8,corner
2023-12-06 23:51:53.991750,O,X,O,8,edge
2023-12-06 23:52:20.556239,X,O,X,9,center
2023-12-06 23:52:45.831585,X,O,X,9,edge
2023-12-06 23:53:03.304805,O,X,O,8,corner
2023-12-06 23:53:29.689746,X,O,D,9,corner
2023-12-06 23:53:48.433997,O,X,O,8,corner
2023-12-06 23:54:10.110526,X,O,X,7,corner
2023-12-06 23:54:40.375081,X,O,X,9,edge
2023-12-06 23:55:11.182270,X,O,X,9,center
2023-12-06 23:55:45.416863,O,X,O,8,corner
2023-12-06 23:56:04.712586,O,X,O,8,center
2023-12-06 23:56:19.592416,X,O,X,7,edge
2023-12-06 23:56:44.055673,X,O,X,9,edge
2023-12-06 23:57:06.671180,O,X,O,8,corner
2023-12-06 23:57:26.403058,O,X,O,8,edge
2023-12-06 23:57:48.621231,X,O,X,9,corner
2023-12-06 23:58:20.799439,X,O,X,9,center
2023-12-06 23:58:45.009511,X,O,X,9,edge
2023-12-06 23:59:01.556596,X,O,X,5,center
2023-12-06 23:59:13.335775,X,O,X,5,corner
2023-12-07 00:00:04.287299,X,O,D,9,corner
